name,company,image,for_gender,rating,number_votes,main_accords,description,top notes,middle notes,base notes,season,longevity,sillage,gender_vote,price value,price
Angels' Share,By Kilian,https://fimgs.net/mdimg/perfume/375x500.62615.jpg,for women and men,4.31,682,"['woody', 'sweet', 'warm spicy', 'vanilla', 'cinnamon', 'amber', 'powdery', 'lactonic', 'aromatic']","Angels' Share by By Kilian is a Oriental Vanilla fragrance for women and men. This is a new fragrance. Angels' Share was launched in 2020. The nose behind this fragrance is Benoist Lapouza. Top note is Cognac; middle notes are Cinnamon, Tonka Bean and Oak; base notes are Praline, Vanilla and Sandalwood.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Cognac'],"['Cinnamon', 'Tonka Bean', 'Oak']","['Praline', 'Vanilla', 'Sandalwood']",winter,"{'very weak': 21, 'weak': 17, 'moderate': 107, 'long lasting': 184, 'eternal': 78}","{'intimate': 40, 'moderate': 187, 'strong': 157, 'enormous': 79}","{'female': 40, 'more female': 39, 'unisex': 226, 'more male': 51, 'male': 20}","{'way overpriced': 64, 'overpriced': 143, 'ok': 98, 'good value': 27, 'great value': 11}",300
Libre Intense,Yves Saint Laurent,https://fimgs.net/mdimg/perfume/375x500.62318.jpg,for women,4.02,858,"['vanilla', 'aromatic', 'sweet', 'white floral', 'lavender', 'amber', 'citrus', 'powdery', 'floral', 'fresh spicy']","Libre Intense by Yves Saint Laurent is a Oriental Fougere fragrance for women. This is a new fragrance. Libre Intense was launched in 2020. Libre Intense was created by Anne Flipo and Carlos Benaim. Top notes are Lavender, Mandarin Orange and Bergamot; middle notes are Lavender, Tunisian Orange Blossom, Jasmine Sambac and Orchid; base notes are Madagascar Vanilla, Tonka Bean, Ambergris and Vetiver. Yves Saint Laurent presents a new version of Libre fragrance from 2019, ie. an intense version of this modern feminine fougere. Libre Eau de Parfum Intense is a perfume of ""an intense woman living her roaring freedom and following her instincts,” coming out in August 2020. Libre Intense illuminates a new fragrant shade, described as that between fire and gold. Her ""masculine signature"" was done in a ""feminine way"". ""A fragrance like a shout of freedom – the freedom to live everything with excess."" Top notes: mandarin essence, French lavender essence, bergamot essence 
Heart: Diva lavender heart, sambac jasmine absolute, orange blossom absolute from Morocco, living orchid accord
Base: vanilla extract from Madagascar, vetiver essence, ambergris, tonka absolute from Venezuela The Libre bottle is made like a geometric silhouette in a tuxedo, with a large house monogram. The face of the perfume is singer Dua Lipa. The fragrance is available as a 30, 50 and 90 ml Eau de Parfum Intense. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lavender', 'Mandarin Orange', 'Bergamot']","['Lavender', 'Tunisian Orange Blossom', 'Jasmine Sambac', 'Orchid']","['Madagascar Vanilla', 'Tonka Bean', 'Ambergris', 'Vetiver']",fall,"{'very weak': 24, 'weak': 12, 'moderate': 103, 'long lasting': 212, 'eternal': 84}","{'intimate': 39, 'moderate': 155, 'strong': 237, 'enormous': 131}","{'female': 162, 'more female': 91, 'unisex': 70, 'more male': 8, 'male': 2}","{'way overpriced': 11, 'overpriced': 59, 'ok': 136, 'good value': 35, 'great value': 6}",300
Dior Homme 2020,Christian Dior,https://fimgs.net/mdimg/perfume/375x500.58714.jpg,for men,3.42,1402,"['woody', 'musky', 'amber', 'aromatic']","Dior Homme 2020 by Christian Dior is a Woody fragrance for men. This is a new fragrance. Dior Homme 2020 was launched in 2020. The nose behind this fragrance is Francois Demachy. Top notes are Bergamot, Pink Pepper and elemi; middle notes are Cashmere Wood, Atlas Cedar and Patchouli; base notes are Iso E Super, Haitian Vetiver and White Musk. Dior Homme, a powdery iris and woody scent for men, was introduced in the original version in 2005 and then later came the new 2011 version. The 2020 version of Dior Homme Eau de Toilette is announced with the slogan ""I'm Your Man."" The 2011 edition remains on the shelves under the name, Dior Homme Original. The new Dior Homme is created by Dior in-house perfumer Francois Demachy who wanted to redefine masculine sensuality. The fragrance is intensely woody, warm, and sensual. A virile accord of Atlas cedar and the warmth of cashmere wood are pampered with spicy aromas.  ""This new Dior Homme has an unmistakably virile signature that does not prevent it from developing tender, sensual accents. It basically draws the portrait of a modern man."" François Demachy, Dior Perfumer-Creator According to the perfumer, this is a fragrance overdosed with carnal woody notes, and it represents a return to the basics: classic and simplicity. It is clear, clean, gentle, and woody but also slightly sweet, and wears like a second skin. The new bottle follows the architectural design of its predecessors, with a more prominent logo and perfume name on the plug. The face of the advertising campaign remains actor Robert Pattinson. Dior Homme is available as a 50 and 100 ml Eau de Toilette with the accompanying grooming line, now available in new packaging. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Bergamot', 'Pink Pepper', 'elemi']","['Cashmere Wood', 'Atlas Cedar', 'Patchouli']","['Iso E Super', 'Haitian Vetiver', 'White Musk']",spring and fall,"{'very weak': 125, 'weak': 83, 'moderate': 174, 'long lasting': 288, 'eternal': 77}","{'intimate': 214, 'moderate': 370, 'strong': 189, 'enormous': 151}","{'female': 3, 'more female': 1, 'unisex': 17, 'more male': 56, 'male': 199}","{'way overpriced': 31, 'overpriced': 59, 'ok': 134, 'good value': 33, 'great value': 3}",300
Acqua di Giò Profondo,Giorgio Armani,https://fimgs.net/mdimg/perfume/375x500.59532.jpg,for men,4.03,869,"['aromatic', 'marine', 'citrus', 'fresh spicy', 'woody', 'fresh', 'mineral', 'musky', 'salty', 'patchouli']","Acqua di Giò Profondo by Giorgio Armani is a Aromatic Fougere fragrance for men. This is a new fragrance. Acqua di Giò Profondo was launched in 2020. The nose behind this fragrance is Alberto Morillas. Top notes are Sea Notes, Aquozone, Bergamot and Green Mandarin; middle notes are Rosemary, Cypress, Lavender and Mastic or Lentisque; base notes are Mineral notes, Musk, Patchouli and Amber.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin']","['Rosemary', 'Cypress', 'Lavender', 'Mastic or Lentisque']","['Mineral notes', 'Musk', 'Patchouli', 'Amber']",spring,"{'very weak': 59, 'weak': 66, 'moderate': 188, 'long lasting': 221, 'eternal': 35}","{'intimate': 115, 'moderate': 333, 'strong': 183, 'enormous': 106}","{'female': 3, 'more female': 0, 'unisex': 5, 'more male': 71, 'male': 151}","{'way overpriced': 32, 'overpriced': 84, 'ok': 80, 'good value': 21, 'great value': 4}",300
Le Male Le Parfum,Jean Paul Gaultier,https://fimgs.net/mdimg/perfume/375x500.61856.jpg,for men,4.26,690,"['warm spicy', 'vanilla', 'aromatic', 'lavender', 'amber', 'powdery', 'iris', 'woody']","Le Male Le Parfum by Jean Paul Gaultier is a Oriental fragrance for men. This is a new fragrance. Le Male Le Parfum was launched in 2020. Le Male Le Parfum was created by Quentin Bisch and Nathalie Gracia-Cetto. Top note is Cardamom; middle notes are Lavender and iris; base notes are Vanilla, Oriental notes and Woodsy Notes.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Cardamom'],"['Lavender', 'iris']","['Vanilla', 'Oriental notes', 'Woodsy Notes']",winter,"{'very weak': 18, 'weak': 31, 'moderate': 129, 'long lasting': 252, 'eternal': 77}","{'intimate': 80, 'moderate': 262, 'strong': 175, 'enormous': 115}","{'female': 3, 'more female': 2, 'unisex': 39, 'more male': 132, 'male': 154}","{'way overpriced': 13, 'overpriced': 46, 'ok': 154, 'good value': 70, 'great value': 7}",300
Beau De Jour Eau de Parfum,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.59064.jpg,for men,4.25,729,"['aromatic', 'fresh spicy', 'lavender', 'woody', 'patchouli', 'green', 'earthy', 'mossy', 'amber', 'herbal']","Beau De Jour Eau de Parfum by Tom Ford is a Aromatic Fougere fragrance for men. This is a new fragrance. Beau De Jour Eau de Parfum was launched in 2020. Top notes are Lavender Extract and Lavender; middle notes are Rosemary, Oakmoss, Mint, Basil and Geranium; base notes are Patchouli and Amber.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Lavender Extract', 'Lavender']","['Rosemary', 'Oakmoss', 'Mint', 'Basil', 'Geranium']","['Patchouli', 'Amber']",spring,"{'very weak': 30, 'weak': 19, 'moderate': 88, 'long lasting': 203, 'eternal': 59}","{'intimate': 45, 'moderate': 190, 'strong': 194, 'enormous': 112}","{'female': 1, 'more female': 0, 'unisex': 15, 'more male': 25, 'male': 145}","{'way overpriced': 14, 'overpriced': 52, 'ok': 83, 'good value': 20, 'great value': 4}",300
Angel Nova,Mugler,https://fimgs.net/mdimg/perfume/375x500.61519.jpg,for women,3.54,814,"['fruity', 'rose', 'sweet', 'oud', 'woody', 'tropical', 'warm spicy', 'amber', 'fresh']","Angel Nova by Mugler is a Oriental Floral fragrance for women. This is a new fragrance. Angel Nova was launched in 2020. Angel Nova was created by Sonia Constant, Louise Turner and Quentin Bisch. Top notes are Raspberry and Litchi; middle note is Damask Rose; base notes are Akigalawood and Benzoin. Mugler introduces the new heroine of the Angel line in June 2020, called Angel Nova. Angel Nova is announced as an assertive, irresistible and daring fragrance for the modern heroine and the Mugler universe that combines dream, fantasy and reality. The slogan of the perfume calls for you to ""live up to your dreams."" The woody-fruity-floral composition is born from a fusion of ""addictive"" raspberry fruity note, sensual accord of ""super-natural"" Damask rose and woody structure of akigalawood and benzoin, for Mugler’s distinctive perfume signature. The face of the perfume is German model Toni Garrn. The bottle remains star-shaped (which is now ""standing"") in a bright, raspberry pink color. Mugler Angel Nova is available as a 30 and 50 ml Eau de Parfum. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Raspberry', 'Litchi']",['Damask Rose'],"['Akigalawood', 'Benzoin']",spring,"{'very weak': 29, 'weak': 36, 'moderate': 112, 'long lasting': 153, 'eternal': 74}","{'intimate': 55, 'moderate': 167, 'strong': 203, 'enormous': 168}","{'female': 184, 'more female': 26, 'unisex': 9, 'more male': 4, 'male': 1}","{'way overpriced': 10, 'overpriced': 41, 'ok': 107, 'good value': 20, 'great value': 14}",300
La Nuit Tresor Nude,Lancome,https://fimgs.net/mdimg/perfume/375x500.58825.jpg,for women,4.05,583,"['vanilla', 'coconut', 'sweet', 'citrus', 'rose', 'lactonic', 'powdery', 'tropical']","La Nuit Tresor Nude by Lancome is a Floral fragrance for women. This is a new fragrance. La Nuit Tresor Nude was launched in 2020. Top note is Bergamot; middle note is Rose; base notes are Coconut and Vanila.  Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.",['Bergamot'],['Rose'],"['Coconut', 'Vanila']",spring,"{'very weak': 31, 'weak': 22, 'moderate': 112, 'long lasting': 81, 'eternal': 34}","{'intimate': 75, 'moderate': 150, 'strong': 112, 'enormous': 117}","{'female': 109, 'more female': 7, 'unisex': 1, 'more male': 0, 'male': 0}","{'way overpriced': 7, 'overpriced': 23, 'ok': 68, 'good value': 12, 'great value': 4}",300
The Only One Eau de Parfum Intense,Dolce&Gabbana,https://fimgs.net/mdimg/perfume/375x500.59312.jpg,for women,4.12,562,"['white floral', 'vanilla', 'woody', 'citrus', 'coconut', 'sweet', 'fresh']","The Only One Eau de Parfum Intense by Dolce&Gabbana is a Oriental Floral fragrance for women. This is a new fragrance. The Only One Eau de Parfum Intense was launched in 2020. The nose behind this fragrance is Violaine Collas. Top notes are Neroli, Green Apple and Italian Mandarin; middle notes are Jasmine, Coconut and Orange Blossom; base notes are Vanilla, Cashmere Wood and Cedar. ""Femininity finds new intensity in The Only One Eau de Parfum Intense, the latest edition in the The Only One line from Dolce&Gabbana Beauty. While The Only One Eau de Parfum celebrated a head-turning glamour that draws admiration from all, and The Only One 2 Eau de Parfum captured the power of desire, The Only One Eau de Parfum Intense now celebrates the most enchanting and fascinating qualities of The Only One woman. The absolute essence of mesmerizing allure and irresistible sensuality, this hypnotic fragrance is bewitching, beguiling and utterly addictive. The Only One Eau de Parfum Intense builds on the floriental legacy of The Only One line with a captivating new scent. Like the woman it represents, the fragrance is an intricate combination of intense and solar sensuality. Alluringly feminine and irresistibly seductive, its signature lies in the surprising combination of dazzling gold
orange blossom contrasted with hypnotizing black vanilla. Top notes of sparkling Italian mandarin, crisp green apple accord and golden neroli essence illuminate the radiant floral heart of the fragrance. Notes of dazzling gold orange blossom mingle with the heady sensuality of jasmine absolute, and are softly enveloped by creamy, lush coconut essence, which lends a warm and sunny aura to the scent. Smooth, sweet notes of dark vanilla in the base amplify its addictive quality, underpinned by grounding cedar and cashmere woods. Maintaining the graphic architectural form of The Only One, the bottle is now reinvented in black, the iconic colour of Dolce&Gabbana, which reflects the hypnotic intensity of the fragrance within. The gold ring detail evokes the radiant elegance of The Only One woman, while the sinuous cursive script conjures her seductive silhouette. For the video campaign, Italian director Matteo Garrone renewed his collaboration with actress Emilia Clarke. Set in a traditional trattoria in Rome, the film opens with Emilia surrounded by her friends. Encouraged by them, Emilia starts to sing the classic Italian song “Quando, Quando, Quando”, alongside a group of local musicians. Cheered on by the crowd, her natural aura and intense femininity draws the fascination of all around her. For the print campaign, the Morelli Brothers captured the vibrant energy of the scene, showcasing the spontaneous spirit so characteristic of their work."" The Only One Eau de Parfum Intense is available as a 30ml Eau de Parfum Intense, 50ml Eau de Parfum Intense and 100ml Eau de Parfum Intense from January 2020. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Neroli', 'Green Apple', 'Italian Mandarin']","['Jasmine', 'Coconut', 'Orange Blossom']","['Vanilla', 'Cashmere Wood', 'Cedar']",fall,"{'very weak': 20, 'weak': 24, 'moderate': 89, 'long lasting': 96, 'eternal': 39}","{'intimate': 47, 'moderate': 156, 'strong': 99, 'enormous': 81}","{'female': 106, 'more female': 27, 'unisex': 11, 'more male': 5, 'male': 2}","{'way overpriced': 5, 'overpriced': 17, 'ok': 74, 'good value': 19, 'great value': 6}",300
Black Orchid Parfum,Tom Ford,https://fimgs.net/mdimg/perfume/375x500.62199.jpg,for women and men,4.26,452,"['earthy', 'sweet', 'woody', 'yellow floral', 'fruity', 'patchouli', 'rum', 'floral', 'warm spicy', 'animalic']","Black Orchid Parfum by Tom Ford is a Oriental Floral fragrance for women and men. This is a new fragrance. Black Orchid Parfum was launched in 2020. Top notes are Truffle and Plum; middle notes are Ylang-Ylang, Rum and Black Orchid; base note is Patchouli. Black Orchid is the lavish and luxurious debut of designer Tom Ford from 2006; the extremely sensual scent of imaginary black orchid, flowers, spices, chocolate, balsamic notes and black truffle. Very potent and long-lasting, this fragrance gets its ""most powerful version so far"" in the summer of 2020 in the form of the Black Orchid Parfum edition. Tom Ford Black Orchid Parfum emphasizes the iconic sensuality of the original and its aphrodisiac effect of the black orchid with a new, potent seductive accords -  ylang-ylang flower dipped in golden rum. It offers an enhanced presence of precious essential oils and reveals the new olfactory dimension of black orchid and ylang-ylang with accords of black plum, black truffle and patchouli. Tom Ford Black Orchid Perfume is presented in an all-over gold bottle of 50 and 100 ml. Read about this perfume in other languages: Deutsch, Español, Français, Italiano, Русский, Polski, Português, Ελληνικά, 汉语, Nederlands, Srpski, Română, العربية, Українська, Монгол, עברית.","['Truffle', 'Plum']","['Ylang-Ylang', 'Rum', 'Black Orchid']",['Patchouli'],winter,"{'very weak': 17, 'weak': 10, 'moderate': 25, 'long lasting': 106, 'eternal': 115}","{'intimate': 32, 'moderate': 75, 'strong': 128, 'enormous': 138}","{'female': 17, 'more female': 40, 'unisex': 110, 'more male': 8, 'male': 6}","{'way overpriced': 17, 'overpriced': 42, 'ok': 52, 'good value': 14, 'great value': 12}",300
